origin_file,part_id,field,fixture_value,real_value
baselines/test_armor_and_ricochet_baseline.gd,torso,hp,20,12
baselines/test_armor_and_ricochet_baseline.gd,torso,max_hp,20,12
baselines/test_shot_plane_sweep_baseline.gd,torso,hp,10,12
baselines/test_shot_plane_sweep_baseline.gd,torso,max_hp,10,12
unit/data/test_part.gd,pistol,damage,8.0,4.0
unit/data/test_part.gd,pistol,crit_chance,0.1,0.0
unit/data/test_part.gd,pistol,ammo_id,9mm_fmj,
unit/data/test_taskblock21_gun_data.gd,torso,hp,10,12
unit/data/test_taskblock21_gun_data.gd,torso,max_hp,10,12
unit/data/test_tool_parts.gd,torso,hp,10,12
unit/data/test_tool_parts.gd,torso,max_hp,10,12
unit/debug/test_bout_injector.gd,torso,hp,5,12
unit/debug/test_bout_injector.gd,torso,max_hp,5,12
unit/debug/test_bout_injector_kill.gd,torso,hp,10,12
unit/debug/test_bout_injector_kill.gd,torso,max_hp,10,12
unit/debug/test_bout_injector_remove_object.gd,torso,hp,10,12
unit/debug/test_bout_injector_remove_object.gd,torso,max_hp,10,12
unit/logic/actions/test_attack_action.gd,hand,hp,5,3
unit/logic/actions/test_attack_action.gd,hand,max_hp,5,3
unit/logic/actions/test_attack_action.gd,torso,hp,10,12
unit/logic/actions/test_attack_action.gd,torso,max_hp,10,12
unit/logic/actions/test_attack_action.gd,head,hp,5,6
unit/logic/actions/test_attack_action.gd,head,max_hp,5,6
unit/logic/actions/test_attack_action.gd,head,failure_mode,DETONATE,MANGLE
unit/logic/actions/test_attack_action.gd,head,detonate_damage,2.0,0.0
unit/logic/actions/test_attack_action.gd,head,detonate_radius,2.0,0.0
unit/logic/actions/test_burst_action.gd,auto_shotgun,ap_cost,1,2
unit/logic/actions/test_burst_action.gd,hand,hp,5,3
unit/logic/actions/test_burst_action.gd,hand,max_hp,5,3
unit/logic/actions/test_burst_action.gd,pistol,ammo_id,12ga_buckshot,
unit/logic/actions/test_carry_body_action.gd,torso,hp,10,12
unit/logic/actions/test_carry_body_action.gd,torso,max_hp,10,12
unit/logic/actions/test_carry_body_action.gd,crate,hp,5,3
unit/logic/actions/test_carry_body_action.gd,crate,max_hp,5,3
unit/logic/actions/test_carry_body_action.gd,hand,hp,5,3
unit/logic/actions/test_carry_body_action.gd,hand,max_hp,5,3
unit/logic/actions/test_carry_body_action.gd,pistol,hp,1,3
unit/logic/actions/test_carry_body_action.gd,pistol,max_hp,1,3
unit/logic/actions/test_carry_body_action.gd,pistol,damage,20.0,4.0
unit/logic/actions/test_face_action.gd,pistol,hp,1,3
unit/logic/actions/test_face_action.gd,pistol,max_hp,1,3
unit/logic/actions/test_face_action.gd,pistol,damage,5.0,4.0
unit/logic/actions/test_face_action.gd,hand,hp,5,3
unit/logic/actions/test_face_action.gd,hand,max_hp,5,3
unit/logic/actions/test_face_action.gd,torso,hp,10,12
unit/logic/actions/test_face_action.gd,torso,max_hp,10,12
unit/logic/actions/test_grind_action.gd,hand,hp,5,3
unit/logic/actions/test_grind_action.gd,hand,max_hp,5,3
unit/logic/actions/test_modify_assembly_action.gd,pistol,hp,5,3
unit/logic/actions/test_modify_assembly_action.gd,pistol,max_hp,5,3
unit/logic/actions/test_pick_up_action.gd,torso,hp,10,12
unit/logic/actions/test_pick_up_action.gd,torso,max_hp,10,12
unit/logic/actions/test_pick_up_action.gd,pistol,hp,5,3
unit/logic/actions/test_pick_up_action.gd,pistol,max_hp,5,3
unit/logic/actions/test_pick_up_action.gd,pistol,bulk,1.0,0.0
unit/logic/actions/test_repair_action.gd,leg,material,steel,artificial_bone
unit/logic/actions/test_repair_action.gd,hand,hp,4,3
unit/logic/actions/test_repair_action.gd,hand,max_hp,4,3
unit/logic/actions/test_repair_action.gd,torso,hp,10,12
